aalen:	('aalɛnɛm', 'N;INS;SG')
	('s t ɔ lʲ i t͡s', 'N;GEN;PL')
	('stɔlʲi\U00100001ɔm', 'N;DAT;PL')
	('s t ɔ lʲ i t͡s ɔ', 'N;VOC;SG')
	('s t ɔ lʲ i t͡s ɨ', 'N;DAT;SG')
	('s t ɔ lʲ i t͡s ɨ', 'N;ESS;SG')
	('s t ɔ lʲ i t͡s ɨ', 'N;GEN;SG')
stoliczek:	('s t ɔ lʲ i t͡ʂ ɛ k', 'N;ACC;SG')
	('s t ɔ lʲ i t͡ʂ ɛ k', 'N;NOM;SG')
	('stɔlʲi\U00100001skax', 'N;ESS;PL')
	('stɔlʲi\U00100001skamʲi', 'N;INS;PL')
	('stɔlʲi\U00100001ska', 'N;GEN;SG')
	('stɔlʲi\U00100001skʲiɛm', 'N;INS;SG')
	('stɔlʲi\U00100001skʲi', 'N;ACC;PL')
	('stɔlʲi\U00100001skʲi', 'N;NOM;PL')
	('stɔlʲi\U00100001skʲi', 'N;VOC;PL')
	('stɔlʲi\U00100001skɔm', 'N;DAT;PL')
	('stɔlʲi\U00100001skɔvʲi', 'N;DAT;SG')
	('stɔlʲi\U00100001skuv', 'N;GEN;PL')
	('stɔlʲi\U00100001sku', 'N;ESS;SG')
	('stɔlʲi\U00100001sku', 'N;VOC;SG')
stolik:	('stɔlʲikax', 'N;ESS;PL')
	('stɔlʲikamʲi', 'N;INS;PL')
	('stɔlʲika', 'N;GEN;SG')
	('stɔlʲikʲiɛm', 'N;INS;SG')
	('stɔlʲikʲi', 'N;ACC;PL')
	('stɔlʲikʲi', 'N;NOM;PL')
	('stɔlʲikʲi', 'N;VOC;PL')
	('s t ɔ lʲ i k', 'N;ACC;SG')
	('s t ɔ lʲ i k', 'N;NOM;SG')
	('stɔlʲikɔm', 'N;DAT;PL')
	('stɔlʲikɔvʲi', 'N;DAT;SG')
	('stɔlʲikuv', 'N;GEN;PL')
	('stɔlʲiku', 'N;ESS;SG')
	('stɔlʲiku', 'N;VOC;SG')
stołówka:	('stɔwuv\U00100001ɛ', 'N;DAT;SG')
	('stɔwuv\U00100001ɛ', 'N;ESS;SG')
	('stɔwuvɛk', 'N;GEN;PL')
	('stɔwuvkax', 'N;ESS;PL')
	('stɔwuvkamʲi', 'N;INS;PL')
	('stɔwuvkɔ̃', 'N;INS;SG')
	('s t ɔ w u f k a', 'N;NOM;SG')
	('stɔwuvkɛ~', 'N;ACC;SG')
	('stɔwuvkʲi', 'N;ACC;PL')
	('stɔwuvkʲi', 'N;GEN;SG')
	('stɔwuvkʲi', 'N;NOM;PL')
	('stɔwuvkʲi', 'N;VOC;PL')
	('stɔwuvkɔm', 'N;DAT;PL')
	('stɔwuvkɔ', 'N;VOC;SG')
stół:	('s t ɔ w a x', 'N;ESS;PL')
	('s t ɔ w a mʲ i', 'N;INS;PL')
	('s t ɔ w ɛ m', 'N;INS;SG')
	('s t ɔ l ɛ', 'N;ESS;SG')
	('s t ɔ l ɛ', 'N;VOC;SG')
	('s t u w', 'N;ACC;SG')
	('s t u w', 'N;NOM;SG')
	('s t ɔ w ɔ m', 'N;DAT;PL')
	('s t ɔ w ɔ vʲ i', 'N;DAT;SG')
	('s t ɔ w u f', 'N;GEN;PL')
	('s t ɔ w u', 'N;GEN;SG')
	('s t ɔ w ɨ', 'N;ACC;PL')
	('s t ɔ w ɨ', 'N;NOM;PL')
	('s t ɔ w ɨ', 'N;VOC;PL')
stolyca:	('stɔlɨ\U00100001ɔ̃', 'N;INS;SG')
	('s t ɔ l ɨ t͡s a', 'N;NOM;SG')
	('stɔlɨ\U00100001ɛ~', 'N;ACC;SG')
	('stɔlɨ\U00100001ɔ', 'N;VOC;SG')
	('stɔlɨ\U00100001ɨ', 'N;DAT;SG')
	('stɔlɨ\U00100001ɨ', 'N;ESS;SG')
	('stɔlɨ\U00100001ɨ', 'N;GEN;SG')
stomatolog:	('stɔmatɔlɔdzɨ', 'N;NOM;PL')
	('stɔmatɔlɔdzɨ', 'N;VOC;PL')
	('stɔmatɔlɔgax', 'N;ESS;PL')
	('stɔmatɔlɔgamʲi', 'N;INS;PL')
	('stɔmatɔlɔga', 'N;ACC;SG')
	('stɔmatɔlɔga', 'N;GEN;SG')
	('stɔmatɔlɔgʲiɛm', 'N;INS;SG')
	('s t ɔ m a t ɔ l ɔ k', 'N;NOM;SG')
	('stɔmatɔlɔgɔm', 'N;DAT;PL')
	('stɔmatɔlɔgɔvʲi', 'N;DAT;SG')
	('stɔmatɔlɔguv', 'N;ACC;PL')
	('stɔmatɔlɔguv', 'N;GEN;PL')
	('stɔmatɔlɔgu', 'N;ESS;SG')
	('stɔmatɔlɔgu', 'N;VOC;SG')
stonoga:	('stɔnɔdzɛ', 'N;DAT;SG')
	('stɔnɔdzɛ', 'N;ESS;SG')
	('stɔnɔgax', 'N;ESS;PL')
	('stɔnɔgamʲi', 'N;INS;PL')
	('stɔnɔgɔ̃', 'N;INS;SG')
	('s t ɔ n ɔ ɡ a', 'N;NOM;SG')
	('stɔnɔgɛ~', 'N;ACC;SG')
	('stɔnɔgʲi', 'N;ACC;PL')
	('stɔnɔgʲi', 'N;GEN;SG')
	('stɔnɔgʲi', 'N;NOM;PL')
	('stɔnɔgʲi', 'N;VOC;PL')
	('s t ɔ n u k', 'N;GEN;PL')
	('stɔnɔgɔm', 'N;DAT;PL')
	('stɔnɔgɔ', 'N;VOC;SG')
stopa:	('s t ɔ p a x', 'N;ESS;PL')
	('s t ɔ p a mʲ i', 'N;INS;PL')
	('s t ɔ p ɔ̃', 'N;INS;SG')
	('s t ɔ p a', 'N;NOM;SG')
	('s t ɔ p ɛ', 'N;ACC;SG')
	('s t ɔ pʲ ɛ', 'N;DAT;SG')
	('s t ɔ pʲ ɛ', 'N;ESS;SG')
	('s t u p', 'N;GEN;PL')
	('s t ɔ p ɔ m', 'N;DAT;PL')
	('s t ɔ p ɔ', 'N;VOC;SG')
	('s t ɔ p ɨ', 'N;ACC;PL')
	('s t ɔ p ɨ', 'N;GEN;SG')
	('s t ɔ p ɨ', 'N;NOM;PL')
	('s t ɔ p ɨ', 'N;VOC;PL')
stopień:	('s t ɔ pʲ ɛ ɲ', 'N;ACC;SG')
	('s t ɔ pʲ ɛ ɲ', 'N;NOM;SG')
	('s t ɔ p ɲ a x', 'N;ESS;PL')
	('s t ɔ p ɲ a mʲ i', 'N;INS;PL')
	('s t ɔ p ɲ a', 'N;GEN;SG')
	('s t ɔ p ɲ ɛ m', 'N;INS;SG')
	('s t ɔ p ɲ ɛ', 'N;ACC;PL')
	('s t ɔ p ɲ ɛ', 'N;NOM;PL')
	('s t ɔ p ɲ ɛ', 'N;VOC;PL')
	('s t ɔ p ɲ i', 'N;GEN;PL')
	('s t ɔ p ɲ ɔ m', 'N;DAT;PL')
	('s t ɔ p ɲ ɔ vʲ i', 'N;DAT;SG')
	('s t ɔ p ɲ u', 'N;ESS;SG')
	('s t ɔ p ɲ u', 'N;VOC;SG')
storczyk:	('stɔr\U00100002ɨkax', 'N;ESS;PL')
	('stɔr\U00100002ɨkamʲi', 'N;INS;PL')
	('stɔr\U00100002ɨka', 'N;GEN;SG')
	('stɔr\U00100002ɨkʲiɛm', 'N;INS;SG')
	('stɔr\U00100002ɨkʲi', 'N;ACC;PL')
	('stɔr\U00100002ɨkʲi', 'N;NOM;PL')
	('stɔr\U00100002ɨkʲi', 'N;VOC;PL')
	('s t ɔ r t͡ʂ ɨ k', 'N;ACC;SG')
	('s t ɔ r t͡ʂ ɨ k', 'N;NOM;SG')
	('stɔr\U00100002ɨkɔm', 'N;DAT;PL')
	('stɔr\U00100002ɨkɔvʲi', 'N;DAT;SG')
	('stɔr\U00100002ɨkuv', 'N;GEN;PL')
	('stɔr\U00100002ɨku', 'N;ESS;SG')
	('stɔr\U00100002ɨku', 'N;VOC;SG')
stos:	('stɔsax', 'N;ESS;PL')
	('stɔsamʲi', 'N;INS;PL')
	('stɔsɛm', 'N;INS;SG')
	('stɔɕiɛ', 'N;ESS;SG')
	('stɔɕiɛ', 'N;VOC;SG')
	('s t ɔ s', 'N;ACC;SG')
	('s t ɔ s', 'N;NOM;SG')
	('stɔsɔm', 'N;DAT;PL')
	('stɔsɔvʲi', 'N;DAT;SG')
	('stɔsuv', 'N;GEN;PL')
	('stɔsu', 'N;GEN;SG')
	('stɔsɨ', 'N;ACC;PL')
	('stɔsɨ', 'N;NOM;PL')
	('stɔsɨ', 'N;VOC;PL')
stosunek:	('s t ɔ s u n ɛ k', 'N;ACC;SG')
	('s t ɔ s u n ɛ k', 'N;NOM;SG')
	('stɔsunkax', 'N;ESS;PL')
	('stɔsunkamʲi', 'N;INS;PL')
	('stɔsunkʲiɛm', 'N;INS;SG')
	('stɔsunkʲi', 'N;ACC;PL')
	('stɔsunkʲi', 'N;NOM;PL')
	('stɔsunkʲi', 'N;VOC;PL')
	('stɔsunkɔm', 'N;DAT;PL')
	('stɔsunkɔvʲi', 'N;DAT;SG')
	('stɔsunkuv', 'N;GEN;PL')
	('stɔsunku', 'N;ESS;SG')
	('stɔsunku', 'N;GEN;SG')
	('stɔsunku', 'N;VOC;SG')
stożek:	('s t ɔ ʐ ɛ k', 'N;ACC;SG')
	('s t ɔ ʐ ɛ k', 'N;NOM;SG')
	('stɔʐkax', 'N;ESS;PL')
	('stɔʐkamʲi', 'N;INS;PL')
	('s t ɔ ʂ k a', 'N;GEN;SG')
	('stɔʐkʲiɛm', 'N;INS;SG')
	('stɔʐkʲi', 'N;ACC;PL')
	('stɔʐkʲi', 'N;NOM;PL')
	('stɔʐkʲi', 'N;VOC;PL')
	('stɔʐkɔm', 'N;DAT;PL')
	('stɔʐkɔvʲi', 'N;DAT;SG')
	('stɔʐkuv', 'N;GEN;PL')
	('stɔʐku', 'N;ESS;SG')
	('stɔʐku', 'N;VOC;SG')
strach:	('s t r a x a x', 'N;ESS;PL')
	('s t r a x a mʲ i', 'N;INS;PL')
	('s t r a x ɛ m', 'N;INS;SG')
	('s t r a x', 'N;ACC;SG')
	('s t r a x', 'N;NOM;SG')
	('s t r a x ɔ m', 'N;DAT;PL')
	('s t r a x ɔ vʲ i', 'N;DAT;SG')
	('s t r a x u f', 'N;GEN;PL')
	('s t r a x u', 'N;ESS;SG')
	('s t r a x u', 'N;GEN;SG')
	('s t r a x u', 'N;VOC;SG')
	('s t r a x ɨ', 'N;ACC;PL')
	('s t r a x ɨ', 'N;NOM;PL')
	('s t r a x ɨ', 'N;VOC;PL')
stragan:	('sdraganax', 'N;ESS;PL')
	('sdraganamʲi', 'N;INS;PL')
	('sdraganɛm', 'N;INS;SG')
	('sdragaɲiɛ', 'N;ESS;SG')
	('sdragaɲiɛ', 'N;VOC;SG')
	('s t r a ɡ a n', 'N;ACC;SG')
	('s t r a ɡ a n', 'N;NOM;SG')
	('sdraganɔm', 'N;DAT;PL')
	('sdraganɔvʲi', 'N;DAT;SG')
	('sdraganuv', 'N;GEN;PL')
	('sdraganu', 'N;GEN;SG')
	('sdraganɨ', 'N;ACC;PL')
	('sdraganɨ', 'N;NOM;PL')
	('sdraganɨ', 'N;VOC;PL')
strajk:	('sdrajkax', 'N;ESS;PL')
	('sdrajkamʲi', 'N;INS;PL')
	('sdrajkʲiɛm', 'N;INS;SG')
	('sdrajkʲi', 'N;ACC;PL')
	('sdrajkʲi', 'N;NOM;PL')
	('sdrajkʲi', 'N;VOC;PL')
	('s t r a j k', 'N;ACC;SG')
	('s t r a j k', 'N;NOM;SG')
	('sdrajkɔm', 'N;DAT;PL')
	('sdrajkɔvʲi', 'N;DAT;SG')
	('sdrajkuv', 'N;GEN;PL')
	('sdrajku', 'N;ESS;SG')
	('sdrajku', 'N;GEN;SG')
	('sdrajku', 'N;VOC;SG')
strąk:	('sdrɔ̃kax', 'N;ESS;PL')
	('sdrɔ̃kamʲi', 'N;INS;PL')
	('s t r ɔ ŋ k a', 'N;GEN;SG')
	('sdrɔ̃kʲiɛm', 'N;INS;SG')
	('s t r ɔ ŋ kʲ i', 'N;ACC;PL')
	('s t r ɔ ŋ kʲ i', 'N;NOM;PL')
	('s t r ɔ ŋ kʲ i', 'N;VOC;PL')
	('s t r ɔ ŋ k', 'N;ACC;SG')
	('s t r ɔ ŋ k', 'N;NOM;SG')
	('s t r ɔ ŋ k ɔ m', 'N;DAT;PL')
	('s t r ɔ ŋ k ɔ vʲ i', 'N;DAT;SG')
	('sdrɔ̃kuv', 'N;GEN;PL')
	('s t r ɔ ŋ k u', 'N;ESS;SG')
	('s t r ɔ ŋ k u', 'N;VOC;SG')
straszydło:	('sdrazzɨdɛw', 'N;GEN;PL')
	('sdrazzɨdwax', 'N;ESS;PL')
	('sdrazzɨdwamʲi', 'N;INS;PL')
	('sdrazzɨdwa', 'N;ACC;PL')
	('sdrazzɨdwa', 'N;GEN;SG')
	('sdrazzɨdwa', 'N;NOM;PL')
	('sdrazzɨdwa', 'N;VOC;PL')
	('sdrazzɨdwɛm', 'N;INS;SG')
	('sdrazzɨdlɛ', 'N;ESS;SG')
	('sdrazzɨdwɔm', 'N;DAT;PL')
	('s t r a ʂ ɨ d w ɔ', 'N;ACC;SG')
	('s t r a ʂ ɨ d w ɔ', 'N;NOM;SG')
	('s t r a ʂ ɨ d w ɔ', 'N;VOC;SG')
	('sdrazzɨdwu', 'N;DAT;SG')
strata:	('s t r a t͡ɕ ɛ', 'N;DAT;SG')
	('s t r a t͡ɕ ɛ', 'N;ESS;SG')
	('s t r a t a x', 'N;ESS;PL')
	('s t r a t a mʲ i', 'N;INS;PL')
	('s t r a t ɔ̃', 'N;INS;SG')
	('s t r a t a', 'N;NOM;SG')
	('s t r a t ɛ', 'N;ACC;SG')
	('s t r a t', 'N;GEN;PL')
	('s t r a t ɔ m', 'N;DAT;PL')
	('s t r a t ɔ', 'N;VOC;SG')
	('s t r a t ɨ', 'N;ACC;PL')
	('s t r a t ɨ', 'N;GEN;SG')
	('s t r a t ɨ', 'N;NOM;PL')
	('s t r a t ɨ', 'N;VOC;PL')
strategia:	('sdratɛgʲiax', 'N;ESS;PL')
	('sdratɛgʲiamʲi', 'N;INS;PL')
	('sdratɛgʲiɔ̃', 'N;INS;SG')
	('s t r a t ɛ ɡʲ j a', 'N;NOM;SG')
	('sdratɛgʲiɛ', 'N;ACC;PL')
	('sdratɛgʲiɛ~', 'N;ACC;SG')
	('sdratɛgʲiɛ', 'N;NOM;PL')
	('sdratɛgʲiɛ', 'N;VOC;PL')
	('sdratɛgʲii', 'N;DAT;SG')
	('sdratɛgʲii', 'N;ESS;SG')
	('sdratɛgʲii', 'N;GEN;PL')
	('sdratɛgʲii', 'N;GEN;SG')
	('sdratɛgʲiɔm', 'N;DAT;PL')
	('sdratɛgʲiɔ', 'N;VOC;SG')
strateg:	('sdratɛdzɨ', 'N;NOM;PL')
	('sdratɛdzɨ', 'N;VOC;PL')
	('sdratɛgax', 'N;ESS;PL')
	('sdratɛgamʲi', 'N;INS;PL')
	('sdratɛga', 'N;ACC;SG')
	('sdratɛga', 'N;GEN;SG')
	('sdratɛgʲiɛm', 'N;INS;SG')
	('sdratɛk', 'N;NOM;SG')
	('sdratɛgɔm', 'N;DAT;PL')
	('sdratɛgɔvʲi', 'N;DAT;SG')
	('sdratɛguv', 'N;ACC;PL')
	('sdratɛguv', 'N;GEN;PL')
	('sdratɛgu', 'N;ESS;SG')
	('sdratɛgu', 'N;VOC;SG')
stratosfera:	('sdratɔsfɛrax', 'N;ESS;PL')
	('sdratɔsfɛramʲi', 'N;INS;PL')
	('sdratɔsfɛrɔ̃', 'N;INS;SG')
	('s t r a t ɔ s f ɛ r a', 'N;NOM;SG')
	('sdratɔsfɛrɛ~', 'N;ACC;SG')
	('sdratɔsfɛr', 'N;GEN;PL')
	('sdratɔsfɛrɔm', 'N;DAT;PL')
	('sdratɔsfɛrɔ', 'N;VOC;SG')
	('sdratɔsfɛrɨ', 'N;ACC;PL')
	('sdratɔsfɛrɨ', 'N;GEN;SG')
	('sdratɔsfɛrɨ', 'N;NOM;PL')
	('sdratɔsfɛrɨ', 'N;VOC;PL')
	('sdratɔsfɛʐɛ', 'N;DAT;SG')
	('sdratɔsfɛʐɛ', 'N;ESS;SG')
strażak:	('sdraʐa\U00100001ɨ', 'N;NOM;PL')
	('sdraʐa\U00100001ɨ', 'N;VOC;PL')
	('sdraʐakax', 'N;ESS;PL')
	('sdraʐakamʲi', 'N;INS;PL')
	('sdraʐaka', 'N;ACC;SG')
	('sdraʐaka', 'N;GEN;SG')
	('sdraʐakʲiɛm', 'N;INS;SG')
	('s t r a ʐ a k', 'N;NOM;SG')
	('sdraʐakɔm', 'N;DAT;PL')
	('sdraʐakɔvʲi', 'N;DAT;SG')
	('sdraʐakuv', 'N;ACC;PL')
	('sdraʐakuv', 'N;GEN;PL')
	('sdraʐaku', 'N;ESS;SG')
	('sdraʐaku', 'N;VOC;SG')
strażnik:	('sdraʐɲi\U00100001ɨ', 'N;NOM;PL')
	('sdraʐɲi\U00100001ɨ', 'N;VOC;PL')
	('sdraʐɲikax', 'N;ESS;PL')
	('sdraʐɲikamʲi', 'N;INS;PL')
	('sdraʐɲika', 'N;ACC;SG')
	('sdraʐɲika', 'N;GEN;SG')
	('sdraʐɲikʲiɛm', 'N;INS;SG')
	('s t r a ʐ ɲ i k', 'N;NOM;SG')
	('sdraʐɲikɔm', 'N;DAT;PL')
	('sdraʐɲikɔvʲi', 'N;DAT;SG')
	('s t r a ʐ ɲ i k u f', 'N;ACC;PL')
	('s t r a ʐ ɲ i k u f', 'N;GEN;PL')
	('sdraʐɲiku', 'N;ESS;SG')
	('sdraʐɲiku', 'N;VOC;SG')
straż:	('sdraʐax', 'N;ESS;PL')
	('sdraʐamʲi', 'N;INS;PL')
	('sdraʐɔ̃', 'N;INS;SG')
	('sdraʐɛ', 'N;ACC;PL')
	('sdraʐɛ', 'N;NOM;PL')
	('sdraʐɛ', 'N;VOC;PL')
	('s t r a ʂ', 'N;ACC;SG')
	('s t r a ʂ', 'N;NOM;SG')
	('sdraʐɔm', 'N;DAT;PL')
	('sdraʐɨ', 'N;DAT;SG')
	('sdraʐɨ', 'N;ESS;SG')
	('sdraʐɨ', 'N;GEN;PL')
	('sdraʐɨ', 'N;GEN;SG')
	('sdraʐɨ', 'N;VOC;SG')
strefa:	('sdrɛfax', 'N;ESS;PL')
	('sdrɛfamʲi', 'N;INS;PL')
	('sdrɛfɔ̃', 'N;INS;SG')
	('s t r ɛ f a', 'N;NOM;SG')
	('sdrɛfɛ~', 'N;ACC;SG')
	('sdrɛfʲiɛ', 'N;DAT;SG')
	('sdrɛfʲiɛ', 'N;ESS;SG')
	('sdrɛf', 'N;GEN;PL')
	('sdrɛfɔm', 'N;DAT;PL')
	('sdrɛfɔ', 'N;VOC;SG')
	('sdrɛfɨ', 'N;ACC;PL')
	('sdrɛfɨ', 'N;GEN;SG')
	('sdrɛfɨ', 'N;NOM;PL')
	('sdrɛfɨ', 'N;VOC;PL')
stres:	('sdrɛsax', 'N;ESS;PL')
	('sdrɛsamʲi', 'N;INS;PL')
	('sdrɛsɛm', 'N;INS;SG')
	('sdrɛɕiɛ', 'N;ESS;SG')
	('sdrɛɕiɛ', 'N;VOC;SG')
	('s t r ɛ s', 'N;ACC;SG')
	('s t r ɛ s', 'N;NOM;SG')
	('sdrɛsɔm', 'N;DAT;PL')
	('sdrɛsɔvʲi', 'N;DAT;SG')
	('sdrɛsuv', 'N;GEN;PL')
	('sdrɛsu', 'N;GEN;SG')
	('sdrɛsɨ', 'N;ACC;PL')
	('sdrɛsɨ', 'N;NOM;PL')
	('sdrɛsɨ', 'N;VOC;PL')
strit:	('sdrʲi\U00100001ʲiɛ', 'N;ESS;SG')
	('sdrʲi\U00100001ʲiɛ', 'N;VOC;SG')
	('sdrʲitax', 'N;ESS;PL')
	('sdrʲitamʲi', 'N;INS;PL')
	('sdrʲita', 'N;GEN;SG')
	('sdrʲitɛm', 'N;INS;SG')
	('s t rʲ i t', 'N;ACC;SG')
	('s t rʲ i t', 'N;NOM;SG')
	('sdrʲitɔm', 'N;DAT;PL')
	('sdrʲitɔvʲi', 'N;DAT;SG')
	('sdrʲituv', 'N;GEN;PL')
	('sdrʲitɨ', 'N;ACC;PL')
	('sdrʲitɨ', 'N;NOM;PL')
	('sdrʲitɨ', 'N;VOC;PL')
strofa:	('sdrɔfax', 'N;ESS;PL')
	('sdrɔfamʲi', 'N;INS;PL')
	('sdrɔfɔ̃', 'N;INS;SG')
	('s t r ɔ f a', 'N;NOM;SG')
	('sdrɔfɛ~', 'N;ACC;SG')
	('sdrɔfʲiɛ', 'N;DAT;SG')
	('sdrɔfʲiɛ', 'N;ESS;SG')
	('sdrɔf', 'N;GEN;PL')
	('sdrɔfɔm', 'N;DAT;PL')
	('sdrɔfɔ', 'N;VOC;SG')
	('sdrɔfɨ', 'N;ACC;PL')
	('sdrɔfɨ', 'N;GEN;SG')
	('sdrɔfɨ', 'N;NOM;PL')
	('sdrɔfɨ', 'N;VOC;PL')
stroik:	('sdrɔikax', 'N;ESS;PL')
	('sdrɔikamʲi', 'N;INS;PL')
	('sdrɔika', 'N;GEN;SG')
	('sdrɔikʲiɛm', 'N;INS;SG')
	('sdrɔikʲi', 'N;ACC;PL')
	('sdrɔikʲi', 'N;NOM;PL')
	('sdrɔikʲi', 'N;VOC;PL')
	('s t r ɔ i k', 'N;ACC;SG')
	('s t r ɔ i k', 'N;NOM;SG')
	('sdrɔikɔm', 'N;DAT;PL')
	('sdrɔikɔvʲi', 'N;DAT;SG')
	('sdrɔikuv', 'N;GEN;PL')
	('sdrɔiku', 'N;ESS;SG')
	('sdrɔiku', 'N;VOC;SG')
strój:	('s t r ɔ j a x', 'N;ESS;PL')
	('s t r ɔ j a mʲ i', 'N;INS;PL')
	('s t r ɔ j ɛ m', 'N;INS;SG')
	('s t r ɔ j ɛ', 'N;ACC;PL')
	('s t r ɔ j ɛ', 'N;NOM;PL')
	('s t r ɔ j ɛ', 'N;VOC;PL')
	('s t r u j', 'N;ACC;SG')
	('s t r u j', 'N;NOM;SG')
	('s t r ɔ j ɔ m', 'N;DAT;PL')
	('s t r ɔ j ɔ vʲ i', 'N;DAT;SG')
	('s t r ɔ j u f', 'N;GEN;PL')
	('s t r ɔ j u', 'N;ESS;SG')
	('s t r ɔ j u', 'N;GEN;SG')
	('s t r ɔ j u', 'N;VOC;SG')
strona:	('s t r ɔ n a x', 'N;ESS;PL')
	('s t r ɔ n a mʲ i', 'N;INS;PL')
	('s t r ɔ n ɔ̃', 'N;INS;SG')
	('s t r ɔ n a', 'N;NOM;SG')
	('s t r ɔ n ɛ', 'N;ACC;SG')
	('s t r ɔ ɲ ɛ', 'N;DAT;SG')
	('s t r ɔ ɲ ɛ', 'N;ESS;SG')
	('s t r ɔ n', 'N;GEN;PL')
	('s t r ɔ n ɔ m', 'N;DAT;PL')
	('s t r ɔ n ɔ', 'N;VOC;SG')
	('s t r ɔ n ɨ', 'N;ACC;PL')
	('s t r ɔ n ɨ', 'N;GEN;SG')
	('s t r ɔ n ɨ', 'N;NOM;PL')
	('s t r ɔ n ɨ', 'N;VOC;PL')
stront:	('sdrɔn\U00100001ʲiɛ', 'N;ESS;SG')
	('sdrɔn\U00100001ʲiɛ', 'N;VOC;SG')
	('sdrɔntɛm', 'N;INS;SG')
	('s t r ɔ n t', 'N;ACC;SG')
	('s t r ɔ n t', 'N;NOM;SG')
	('sdrɔntɔvʲi', 'N;DAT;SG')
	('sdrɔntu', 'N;GEN;SG')
strop:	('s t r ɔ p a x', 'N;ESS;PL')
	('s t r ɔ p a mʲ i', 'N;INS;PL')
	('s t r ɔ p ɛ m', 'N;INS;SG')
	('s t r ɔ pʲ ɛ', 'N;ESS;SG')
	('s t r ɔ pʲ ɛ', 'N;VOC;SG')
	('s t r ɔ p', 'N;ACC;SG')
	('s t r ɔ p', 'N;NOM;SG')
	('s t r ɔ p ɔ m', 'N;DAT;PL')
	('s t r ɔ p ɔ vʲ i', 'N;DAT;SG')
	('s t r ɔ p u f', 'N;GEN;PL')
	('s t r ɔ p u', 'N;GEN;SG')
	('s t r ɔ p ɨ', 'N;ACC;PL')
	('s t r ɔ p ɨ', 'N;NOM;PL')
	('s t r ɔ p ɨ', 'N;VOC;PL')
stróż:	('s t r u ʐ a x', 'N;ESS;PL')
	('s t r u ʐ a mʲ i', 'N;INS;PL')
	('s t r u ʐ a', 'N;ACC;SG')
	('s t r u ʐ a', 'N;GEN;SG')
	('s t r u ʐ ɛ m', 'N;INS;SG')
	('s t r u ʂ', 'N;NOM;SG')
	('s t r u ʐ ɔ m', 'N;DAT;PL')
	('sdruʐɔvʲiɛ', 'N;NOM;PL')
	('sdruʐɔvʲiɛ', 'N;VOC;PL')
	('s t r u ʐ ɔ vʲ i', 'N;DAT;SG')
	('s t r u ʐ u', 'N;ESS;SG')
	('s t r u ʐ u', 'N;VOC;SG')
	('sdruʐɨ', 'N;ACC;PL')
	('sdruʐɨ', 'N;GEN;PL')
struga:	('s t r u d͡z ɛ', 'N;DAT;SG')
	('s t r u d͡z ɛ', 'N;ESS;SG')
	('s t r u ɡ a x', 'N;ESS;PL')
	('s t r u ɡ a mʲ i', 'N;INS;PL')
	('s t r u ɡ ɔ̃', 'N;INS;SG')
	('s t r u ɡ a', 'N;NOM;SG')
	('s t r u ɡ ɛ', 'N;ACC;SG')
	('s t r u ɡʲ i', 'N;ACC;PL')
	('s t r u ɡʲ i', 'N;GEN;SG')
	('s t r u ɡʲ i', 'N;NOM;PL')
	('s t r u ɡʲ i', 'N;VOC;PL')
	('s t r u k', 'N;GEN;PL')
	('s t r u ɡ ɔ m', 'N;DAT;PL')
	('s t r u ɡ ɔ', 'N;VOC;SG')
strug:	('s t r u ɡ a x', 'N;ESS;PL')
	('s t r u ɡ a mʲ i', 'N;INS;PL')
	('s t r u ɡ a', 'N;GEN;SG')
	('s t r u ɡʲ ɛ m', 'N;INS;SG')
	('s t r u ɡʲ i', 'N;ACC;PL')
	('s t r u ɡʲ i', 'N;NOM;PL')
	('s t r u ɡʲ i', 'N;VOC;PL')
	('s t r u k', 'N;ACC;SG')
	('s t r u k', 'N;NOM;SG')
	('s t r u ɡ ɔ m', 'N;DAT;PL')
	('s t r u ɡ ɔ vʲ i', 'N;DAT;SG')
	('s t r u ɡ u f', 'N;GEN;PL')
	('s t r u ɡ u', 'N;ESS;SG')
	('s t r u ɡ u', 'N;VOC;SG')
struktura:	('sdrukturax', 'N;ESS;PL')
	('sdrukturamʲi', 'N;INS;PL')
	('sdrukturɔ̃', 'N;INS;SG')
	('s t r u k t u r a', 'N;NOM;SG')
	('sdrukturɛ~', 'N;ACC;SG')
	('sdruktur', 'N;GEN;PL')
	('sdrukturɔm', 'N;DAT;PL')
	('sdrukturɔ', 'N;VOC;SG')
	('sdrukturɨ', 'N;ACC;PL')
	('sdrukturɨ', 'N;GEN;SG')
	('sdrukturɨ', 'N;NOM;PL')
	('sdrukturɨ', 'N;VOC;PL')
	('sdruktuʐɛ', 'N;DAT;SG')
	('sdruktuʐɛ', 'N;ESS;SG')
strumień:	('sdrumʲiɛɲiax', 'N;ESS;PL')
	('sdrumʲiɛɲiamʲi', 'N;INS;PL')
	('sdrumʲiɛɲia', 'N;GEN;SG')
	('sdrumʲiɛɲiɛm', 'N;INS;SG')
	('sdrumʲiɛɲiɛ', 'N;ACC;PL')
	('sdrumʲiɛɲiɛ', 'N;NOM;PL')
	('sdrumʲiɛɲiɛ', 'N;VOC;PL')
	('sdrumʲiɛɲi', 'N;GEN;PL')
	('sdrumʲiɛɲiɔm', 'N;DAT;PL')
	('sdrumʲiɛɲiɔvʲi', 'N;DAT;SG')
